Kiswahili,Kikuyu
au,kana
ili,nĩ geetha
Nne,Inya
thũ,adui
Gadi,Gadi 
Kumi,Ikũmi
Puti,Libia
fisi,hiti
Saba,Mũgwanja
Sita,Ithathatũ
Tano,Ithano
Tatu,Ithatũ
Amka,Ukĩra
Nane,Inyanya
Hamu,Hamu
Tisa,Kenda
basi,bathi
Yesu,Jesu
La ,Aaca 
Moja,Ĩmwe
ombi,ihooya
Raama,Raama 
Noa ,Noa 
nyota,njata
usiue,ndukanoragane
Sheba,Shemba
upepo,rũhuuho
Usi ,Uzu 
ngumu,maritũ
ndege,nyoni
Sheba,Sheba
Abida,Abida 
Efa ,Efa 
nguvu,hinya
Shemu,Shemu
Mbili,Igĩrĩ
Shoka,Ithanwa
Buzi ,Buzu 
uvumba,ubani
talaka,marua ma ndigano
Baba !,Baaba !
maziwa,iria 
ngamia,ngamĩĩra
wivu .,ũiru .
bali ,Handũ ha ũguo 
Hazo ,Hazo 
sasa .,riu .
Seba ,Seba 
vijana,andu ethi
wakati,hĩndĩ
Sawa ,Ĩĩ 
Shifra,Shifira
Basi ,Na rĩĩrĩ 
Yakobo,Jakubu
Dani ,Dani 
Yaredi,Jaredi
kijana,mundu mwethi
Yuda ,Juda 
Tema ,Tema 
Lawi ,Lawi 
zake ,ciake-rĩ 
mikate,mĩgate
Ngurue,Ngurue
Duma ,Duma 
Dani ,Dani 
Masa ,Masa 
Yuda ,Juda 
Isaka ,Isaaka 
ni mimi,nĩ niĩ
irima .,milima .
ng'ombe,ng'ombe
Isaka ,Isaaka 
asubuhi,rucini
Yidlafu,Jidilafu
Isaka ,Isaaka 
 bikira, muiritu gathirange
mzaha .,itherũ .
ujaribu,ũgerie
chungu.,mururu.
Eferi ,Eferi 
Nafishi,Nafishi 
Kushi ,Kushi 
 Enda ., Thii .
fedha ,betha 
mbuzi ,mbũri 
mapacha,mahatha
Rifathi,Rifathu 
masuria,atumia a kũigwo
Sabta ,Sabita 
Ereki ,Ereku 
Akadi ,Akadi 
Mesheki,Mesheki 
Misri ,Misiri 
sipaswi,ndiri mwagiriru
Yafethi,Jafethi
dirisha,ndirica
akahama,agĩthaama
ng'ombe,ng'ombe
punda ,ndigiri 
Ishbaki,Ishibaku
Abeli ,Habili 
wakuu .,arĩa anene .
Kaini ,Kaini 
wakunga,atumia a gũciarithania
gharika,mũiyũro wa maaĩ
Madai ,Madai 
Lakini ,No rĩĩrĩ 
chumvi .,cumbĩ .
 NI MIMI,“ NĨ NIĨ
na hua .,na ndirahũgĩ .
safina ,thabina 
Wahiti ,Ahiti 
Endeni !,Thiii !
akamtwaa,akĩmĩnyiita 
akasema,Akiuga
aksema ,akiuga 
kirima .,mlima .
muueni ,mũgakooraga 
Wahivi ,Ahivi 
Gomeri ,Gomeri 
Ni kweli,Nĩ ma 
Magogu ,Magogu 
na njiwa,na ndutuura
kuhesabu,gũtara
na Yudea,na murimo uria ungi wa Jorodani  ikimurumirira .
Chumvi .,Cumbĩ .
Nchi hii,Bũrũri ũyũ
baraka .,kĩraathimo .
Nahori ,Nahori 
Abramu ,Aburamu 
Hawila ,Havila 
Asheri ,Gadi 
Asheri ,Asheri 
Hapana ,Aaca 
Manase ,Manase 
nawasihi,ndamũthaitha
wakala .,makĩrĩa .
Tubali ,Tubali 
Yavani ,Javani 
Haraka !,Ihenya !
Mwanzo .,Kiambiriria .
Kabila ,Mũhĩrĩga 
Hadadi ,Hadadi 
Gahamu ,Gahamu 
Lakini ,No rĩĩrĩ 
Henoki ,Hanoku 
bikira .,gathirange .
Mishma ,Mishima 
mara mia,maita igana
Lakini ,No rĩĩrĩ 
Yeturi ,Jeturu 
wakisema,makiuga
kusamehe,kurekera
ng'mbe ,ng'ombe 
sabini ,Mĩrongo mũgwanja 
sheria .,Watho .
Kedari ,Kedari 
na Pua ,na Pua 
huruma .,tha .
Medani ,Medani 
Kesedi ,Kesedu 
kondoo ,ng'ondu 
Yoshua .,Joshua .
Reubeni ,Reubeni 
